Matrix,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Angola,10,5,30,11,8,7,8,7,8,8
Ethiopia,5,10,17,13,8,6,6,5,5,4
Brunei,12,13,10,7,7,7,6,4,5,4
Croatia,13,10,8,5,5,5,4,3,3,3
Macedonia,4,4,3,3,11,5,4,4,4,3
Georgia,2,2,2,1,1,2,2,2,6,9
Sudan,1,4,7,8,5,6,4,10,7,7
Zimbabwe,6,4,7,9,7,19,6,8,4,5
Kuwait,14,15,13,12,13,13,11,10,8,6
Saudi Arabia,19,25,20,18,20,17,15,15,14,14
