Matrix,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Norway,9,5,5,4,2,3,3,7,9,6
United States,8,7,7,7,7,5,5,5,3,2
Denmark,1,1,8,7,8,3,5,3,7,5
Italy,4,6,6,4,10,8,10,7,7,11
Netherlands,7,12,18,5,3,9,6,8,8,11
Canada,17,15,9,7,6,13,11,9,15,10
Belgium,18,14,11,11,11,11,13,8,9,13
Australia,21,29,24,14,24,13,18,18,17,17
France,20,21,22,22,24,25,20,24,26,27
Austria,8,20,19,19,15,18,19,28,22,30
