Matrix,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004
Puerto Rico,23,21,20,19,19,19,17,13,10,9
Grenada,23,21,21,17,17,14,13,13,13,14
Maldives,6,7,10,10,11,11,11,11,12,16
Guatemala,9,9,10,10,13,14,14,15,15,16
Paraguay,10,11,11,12,14,16,16,17,19,18
Costa Rica,12,13,16,18,19,20,20,19,19,19
China,14,15,16,17,19,20,21,21,21,21
Gambia,19,19,20,20,21,23,22,23,27,29
Comoros,20,20,20,21,23,25,26,27,28,29
Ireland,30,30,30,30,30,30,23,23,23,23
