Matrix,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004
Gibraltar,1,1,1,1,0,1,1,3,4,5
Faeroe Islands,2,2,3,4,4,4,5,6,5,5
Singapore,1,4,5,5,5,5,6,6,5,4
New Caledonia,7,5,7,5,3,4,4,3,4,4
Bahamas,4,13,12,14,3,2,3,2,2,3
Bahrain,2,6,9,8,8,10,7,10,11,10
Brunei,1,25,14,14,3,9,8,7,7,6
Kuwait,13,12,6,7,6,6,5,11,13,13
Luxembourg,13,14,12,11,9,8,11,7,7,9
Qatar,28,30,22,21,14,10,19,18,17,16
