Matrix,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002
Chad,6,7,8,7,1,4,3,7,8,27
Togo,7,7,7,24,10,8,12,7,7,8
Swaziland,12,10,11,21,14,9,7,8,9,9
Venezuela,11,15,12,20,12,9,5,6,14,9
Suriname,13,10,20,15,12,10,5,6,11,10
Greece,18,23,30,5,13,16,10,9,9,10
Botswana,10,20,21,16,17,10,17,12,15,18
Algeria,8,16,18,23,17,15,13,13,12,14
Congo Rep.,14,11,16,12,27,13,7,14,12,10
Lesotho,5,5,6,11,19,18,25,26,23,14
