Matrix,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009
Malawi,10,14,16,17,16,16,15,14,13,13
Uganda,12,12,11,10,9,8,8,7,7,7
Kenya,6,10,12,12,11,10,9,8,7,7
Mozambique,2,3,5,7,9,11,12,13,13,13
Namibia,3,5,8,12,16,18,19,18,16,15
South Africa,1,3,7,12,17,19,20,21,20,20
Swaziland,4,7,12,18,23,27,28,29,29,29
Lesotho,2,7,16,25,27,28,27,27,27,27
Botswana,6,11,19,25,29,30,30,29,28,28
Zimbabwe,15,23,28,30,29,27,24,21,18,16
