Matrix,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Iran,5,5,3,3,4,6,7,6,6,4
Sierra Leone,5,7,8,8,6,5,7,5,4,7
Venezuela,12,9,9,9,9,9,12,9,9,9
Nicaragua,12,13,13,8,8,8,9,10,9,9
Kenya,12,12,10,10,14,11,11,10,11,11
Malaysia,14,14,13,14,13,13,13,11,10,9
Bulgaria,15,11,10,14,13,12,12,13,12,12
Croatia,10,13,15,18,16,15,15,17,16,15
Namibia,22,20,20,18,19,18,21,20,21,19
Lesotho,27,27,30,30,29,28,28,25,26,24
