Matrix,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Iraq,3,4,3,2,2,2,6,10,8,7
Rwanda,8,9,8,7,8,8,12,13,13,19
Botswana,9,9,9,9,8,10,12,14,15,13
Maldives,11,11,11,12,12,12,13,14,23,19
Guinea-Bissau,12,16,9,13,9,15,13,10,11,11
Zimbabwe,17,20,14,15,12,11,13,15,15,15
Lebanon,21,21,20,20,20,17,16,16,16,16
Tuvalu,17,17,18,25,19,17,20,17,16,21
Timor-Leste,17,14,17,16,16,16,17,19,25,30
Malawi,14,17,15,11,14,18,23,23,22,23
